date_key,full_date,year,quarter,month,day,weekday
447,2012-11-25,2012,Q4,11,25,Sunday
448,2014-09-30,2014,Q3,09,30,Tuesday
449,2015-09-20,2015,Q3,09,20,Sunday
450,2014-10-19,2014,Q4,10,19,Sunday
451,2012-04-05,2012,Q2,04,5,Thursday
452,2014-12-28,2014,Q4,12,28,Sunday
453,2014-05-30,2014,Q2,05,30,Friday
454,2013-06-24,2013,Q2,06,24,Monday
455,2012-02-17,2012,Q1,02,17,Friday
456,2012-09-09,2012,Q3,09,9,Sunday
457,2014-01-29,2014,Q1,01,29,Wednesday
458,2012-11-26,2012,Q4,11,26,Monday
459,2014-01-30,2014,Q1,01,30,Thursday
460,2014-10-28,2014,Q4,10,28,Tuesday
461,2012-02-24,2012,Q1,02,24,Friday
462,2012-07-06,2012,Q3,07,6,Friday
463,2015-05-16,2015,Q2,05,16,Saturday
464,2014-01-07,2014,Q1,01,7,Tuesday
465,2013-08-14,2013,Q3,08,14,Wednesday
466,2015-05-23,2015,Q2,05,23,Saturday
467,2012-05-02,2012,Q2,05,2,Wednesday
468,2013-01-14,2013,Q1,01,14,Monday
469,2012-01-26,2012,Q1,01,26,Thursday
470,2015-06-08,2015,Q2,06,8,Monday
471,2012-10-06,2012,Q4,10,6,Saturday
472,2013-10-15,2013,Q4,10,15,Tuesday
473,2015-09-09,2015,Q3,09,9,Wednesday
474,2012-08-20,2012,Q3,08,20,Monday
475,2013-08-29,2013,Q3,08,29,Thursday
476,2012-07-25,2012,Q3,07,25,Wednesday
477,2015-03-14,2015,Q1,03,14,Saturday
478,2012-07-17,2012,Q3,07,17,Tuesday
479,2013-09-12,2013,Q3,09,12,Thursday
480,2012-09-07,2012,Q3,09,7,Friday
481,2015-11-01,2015,Q4,11,1,Sunday
482,2015-02-22,2015,Q1,02,22,Sunday
483,2013-07-08,2013,Q3,07,8,Monday
484,2013-02-14,2013,Q1,02,14,Thursday
485,2013-10-02,2013,Q4,10,2,Wednesday
486,2014-10-16,2014,Q4,10,16,Thursday
487,2012-10-22,2012,Q4,10,22,Monday
488,2012-07-16,2012,Q3,07,16,Monday
489,2014-11-25,2014,Q4,11,25,Tuesday
490,2014-03-16,2014,Q1,03,16,Sunday
491,2013-05-09,2013,Q2,05,9,Thursday
492,2013-09-20,2013,Q3,09,20,Friday
493,2015-12-06,2015,Q4,12,6,Sunday
494,2015-09-01,2015,Q3,09,1,Tuesday
495,2013-03-17,2013,Q1,03,17,Sunday
496,2012-03-23,2012,Q1,03,23,Friday
497,2014-05-28,2014,Q2,05,28,Wednesday
498,2013-01-22,2013,Q1,01,22,Tuesday
499,2014-12-09,2014,Q4,12,9,Tuesday
500,2012-11-02,2012,Q4,11,2,Friday
501,2015-06-16,2015,Q2,06,16,Tuesday
502,2014-07-15,2014,Q3,07,15,Tuesday
503,2013-09-14,2013,Q3,09,14,Saturday
504,2012-09-02,2012,Q3,09,2,Sunday
505,2013-08-21,2013,Q3,08,21,Wednesday
506,2015-03-24,2015,Q1,03,24,Tuesday
507,2016-01-05,2016,Q1,01,5,Tuesday
508,2012-03-01,2012,Q1,03,1,Thursday
509,2013-10-14,2013,Q4,10,14,Monday
510,2013-11-27,2013,Q4,11,27,Wednesday
511,2012-04-20,2012,Q2,04,20,Friday
512,2015-10-20,2015,Q4,10,20,Tuesday
513,2012-06-22,2012,Q2,06,22,Friday
514,2014-04-17,2014,Q2,04,17,Thursday
515,2012-01-12,2012,Q1,01,12,Thursday
516,2013-02-06,2013,Q1,02,6,Wednesday
517,2013-09-02,2013,Q3,09,2,Monday
518,2013-02-07,2013,Q1,02,7,Thursday
519,2012-11-29,2012,Q4,11,29,Thursday
520,2014-06-07,2014,Q2,06,7,Saturday
521,2013-09-13,2013,Q3,09,13,Friday
522,2015-08-26,2015,Q3,08,26,Wednesday
523,2013-08-16,2013,Q3,08,16,Friday
524,2012-12-09,2012,Q4,12,9,Sunday
525,2014-07-09,2014,Q3,07,9,Wednesday
526,2013-12-29,2013,Q4,12,29,Sunday
527,2015-11-02,2015,Q4,11,2,Monday
528,2015-11-10,2015,Q4,11,10,Tuesday
529,2014-05-07,2014,Q2,05,7,Wednesday
530,2013-02-13,2013,Q1,02,13,Wednesday
531,2012-12-05,2012,Q4,12,5,Wednesday
532,2013-08-23,2013,Q3,08,23,Friday
533,2015-02-03,2015,Q1,02,3,Tuesday
534,2012-07-01,2012,Q3,07,1,Sunday
535,2013-07-19,2013,Q3,07,19,Friday
536,2015-05-11,2015,Q2,05,11,Monday
537,2015-09-22,2015,Q3,09,22,Tuesday
538,2015-09-08,2015,Q3,09,8,Tuesday
539,2012-07-23,2012,Q3,07,23,Monday
540,2014-06-20,2014,Q2,06,20,Friday
541,2012-01-08,2012,Q1,01,8,Sunday
542,2014-08-23,2014,Q3,08,23,Saturday
543,2012-12-12,2012,Q4,12,12,Wednesday
544,2012-09-19,2012,Q3,09,19,Wednesday
545,2013-12-22,2013,Q4,12,22,Sunday
546,2013-05-13,2013,Q2,05,13,Monday
547,2014-06-24,2014,Q2,06,24,Tuesday
548,2015-11-15,2015,Q4,11,15,Sunday
549,2013-07-28,2013,Q3,07,28,Sunday
550,2012-09-01,2012,Q3,09,1,Saturday
551,2012-10-12,2012,Q4,10,12,Friday
552,2015-10-29,2015,Q4,10,29,Thursday
553,2013-03-09,2013,Q1,03,9,Saturday
554,2014-07-17,2014,Q3,07,17,Thursday
555,2015-10-04,2015,Q4,10,4,Sunday
556,2015-07-13,2015,Q3,07,13,Monday
